# BranchSpectre-V2 transmitter gadget from libcrypt.a

LINE    OFFSET          CODE                    ASM
3471639: a55:   f7 0a 00 00 18 70       test   DWORD PTR [rdx],0x70180000
3560571:    1072:       f6 02 00                test   BYTE PTR [rdx],0x0
3619705: 6d9:   f7 02 26 15 75 84       test   DWORD PTR [rdx],0x84751526
3691871:    52a1:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
3703147:    174f:       f6 02 07                test   BYTE PTR [rdx],0x7
3704852:    2742:       f6 02 a9                test   BYTE PTR [rdx],0xa9
3704862:    2759:       f6 02 a1                test   BYTE PTR [rdx],0xa1
3704871:    2771:       f7 02 66 10 00 00       test   DWORD PTR [rdx],0x1066
3824072:     bb0:       f6 0a 00                test   BYTE PTR [rdx],0x0
3982897:     c34:       f6 02 de                test   BYTE PTR [rdx],0xde
3985779: 7e1:   f6 02 00                test   BYTE PTR [rdx],0x0
4003139:     5b7:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003157:     5db:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003169:     5f3:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003181:     60b:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003191:     623:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003203:     63b:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003233:     683:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003239:     69b:       f6 0a 00                test   BYTE PTR [rdx],0x0
4003245:     6b3:       f6 0a 00                test   BYTE PTR [rdx],0x0
4017919:    11a1:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4020507:   0:   f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4085186:    2f4c:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4133222:    56bf:       f7 02 6f 00 00 00       test   DWORD PTR [rdx],0x6f
4138698:    30bd:       f6 02 00                test   BYTE PTR [rdx],0x0
4181536:    10ec:       f6 02 9c                test   BYTE PTR [rdx],0x9c
4240065:    12cb:       f6 02 78                test   BYTE PTR [rdx],0x78
4241278:    1dec:       f6 02 36                test   BYTE PTR [rdx],0x36
4246436:    50c3:       f7 02 61 00 00 00       test   DWORD PTR [rdx],0x61
4272906:    119b:       f6 02 ac                test   BYTE PTR [rdx],0xac
4321643:    4d91:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4321647:    4d9c:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4337303:    1cef:       f7 02 52 00 00 00       test   DWORD PTR [rdx],0x52
4363192:    304c:       f7 02 53 00 00 00       test   DWORD PTR [rdx],0x53
4363820:      58:       f6 02 00                test   BYTE PTR [rdx],0x0
4363874:      e0:       f6 02 00                test   BYTE PTR [rdx],0x0
4364012:     22c:       f6 02 00                test   BYTE PTR [rdx],0x0
4438181:    141e:       f6 02 9d                test   BYTE PTR [rdx],0x9d
4449347:    1d42:       f6 02 0b                test   BYTE PTR [rdx],0xb
4556758:    8189:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4556956:    8372:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4556993:    83d8:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4557074:    849f:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4557171:    8568:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4557210:    85c8:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4564730:     388:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
4579542:     ad0:       f6 02 5f                test   BYTE PTR [rdx],0x5f
4591957:     53b:       f6 0a 00                test   BYTE PTR [rdx],0x0
4696494:    21aa:       f6 02 3f                test   BYTE PTR [rdx],0x3f
4711163:    1211:       f6 02 f5                test   BYTE PTR [rdx],0xf5
4738596: 919:   f6 02 03                test   BYTE PTR [rdx],0x3
4759530:    1c87:       f6 02 13                test   BYTE PTR [rdx],0x13
4775193:    32ed:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4775197:    32fb:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4775282:    33ca:       f7 02 00 00 00 00       test   DWORD PTR [rdx],0x0
4802421:     c0d:       f6 02 00                test   BYTE PTR [rdx],0x0
4802432:     c32:       f6 02 00                test   BYTE PTR [rdx],0x0
4810458:    129c:       f6 02 94                test   BYTE PTR [rdx],0x94
4826880:    37c7:       f7 02 56 00 00 00       test   DWORD PTR [rdx],0x56
4978128:    2145:       f6 02 18                test   BYTE PTR [rdx],0x18
5026215:     d39:       f6 02 fe                test   BYTE PTR [rdx],0xfe
5036837:    1505:       f6 02 00                test   BYTE PTR [rdx],0x0
5041756:     42a:       f6 02 00                test   BYTE PTR [rdx],0x0
5041811:     4b5:       f6 02 00                test   BYTE PTR [rdx],0x0
5054144:    173a:       f6 02 b3                test   BYTE PTR [rdx],0xb3
5084056:    35a0:       f6 02 40                test   BYTE PTR [rdx],0x40
5123099:     f6e:       f6 02 00                test   BYTE PTR [rdx],0x0
5123122:     fb7:       f6 02 00                test   BYTE PTR [rdx],0x0
5124922:    2378:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
5124926:    2384:       f7 0a 00 00 00 00       test   DWORD PTR [rdx],0x0
5131806: 2c4:   f7 02 20 00 00 00       test   DWORD PTR [rdx],0x20
5131957: 4f4:   f7 02 20 00 00 00       test   DWORD PTR [rdx],0x20
5132111: 724:   f7 02 20 00 00 00       test   DWORD PTR [rdx],0x20
